entity,MeSH_ID
http://www.wikidata.org/entity/Q186554,D017815
http://www.wikidata.org/entity/Q169953,D017933
http://www.wikidata.org/entity/Q180388,D018505
http://www.wikidata.org/entity/Q170210,D018646
http://www.wikidata.org/entity/Q180184,D019015
http://www.wikidata.org/entity/Q177005,D019295
http://www.wikidata.org/entity/Q185598,D019497
http://www.wikidata.org/entity/Q181802,D019736
http://www.wikidata.org/entity/Q168790,D020126
http://www.wikidata.org/entity/Q167987,D026302
http://www.wikidata.org/entity/Q184208,D027343
http://www.wikidata.org/entity/Q183543,D031317
http://www.wikidata.org/entity/Q176853,D039301
http://www.wikidata.org/entity/Q171604,D043205
http://www.wikidata.org/entity/Q184240,D049449
http://www.wikidata.org/entity/Q179020,D050617
http://www.wikidata.org/entity/Q167903,D055876
http://www.wikidata.org/entity/Q171934,D057048
http://www.wikidata.org/entity/Q181898,D058105
http://www.wikidata.org/entity/Q183140,D062966
http://www.wikidata.org/entity/Q178275,D064149
http://www.wikidata.org/entity/Q180341,D064697
http://www.wikidata.org/entity/Q204714,C016837
http://www.wikidata.org/entity/Q204594,C017803
http://www.wikidata.org/entity/Q202998,C063449
http://www.wikidata.org/entity/Q198728,C545373
http://www.wikidata.org/entity/Q188010,D000017
http://www.wikidata.org/entity/Q203031,D000072661
http://www.wikidata.org/entity/Q197536,D000077321
http://www.wikidata.org/entity/Q189656,D000087862
http://www.wikidata.org/entity/Q193583,D000273
http://www.wikidata.org/entity/Q190200,D000531
http://www.wikidata.org/entity/Q191831,D000645
http://www.wikidata.org/entity/Q187255,D001172
http://www.wikidata.org/entity/Q193840,D001237
http://www.wikidata.org/entity/Q193378,D001696
http://www.wikidata.org/entity/Q187661,D002273
http://www.wikidata.org/entity/Q202415,D002670
http://www.wikidata.org/entity/Q192795,D003077
http://www.wikidata.org/entity/Q204015,D003672
http://www.wikidata.org/entity/Q204885,D003738
http://www.wikidata.org/entity/Q205042,D004375
http://www.wikidata.org/entity/Q200117,D005307
http://www.wikidata.org/entity/Q189998,D005407
http://www.wikidata.org/entity/Q194270,D006213
http://www.wikidata.org/entity/Q193430,D006571
http://www.wikidata.org/entity/Q145790,D015863
http://www.wikidata.org/entity/Q132319,D016993
http://www.wikidata.org/entity/Q148561,D018413
http://www.wikidata.org/entity/Q139720,D018458
http://www.wikidata.org/entity/Q143487,D018643
http://www.wikidata.org/entity/Q132453,D019049
http://www.wikidata.org/entity/Q147638,D019336
http://www.wikidata.org/entity/Q136219,D020036
http://www.wikidata.org/entity/Q136674,D020562
http://www.wikidata.org/entity/Q134668,D020563
http://www.wikidata.org/entity/Q132039,D027421
http://www.wikidata.org/entity/Q133016,D028001
http://www.wikidata.org/entity/Q132429,D028084
http://www.wikidata.org/entity/Q144723,D028101
http://www.wikidata.org/entity/Q144322,D028184
http://www.wikidata.org/entity/Q148758,D028462
http://www.wikidata.org/entity/Q141672,D029069
http://www.wikidata.org/entity/Q148463,D029501
http://www.wikidata.org/entity/Q145869,D029626
http://www.wikidata.org/entity/Q146037,D029779
http://www.wikidata.org/entity/Q132655,D029910
http://www.wikidata.org/entity/Q132651,D031056
http://www.wikidata.org/entity/Q146617,D031162
http://www.wikidata.org/entity/Q148897,D031242
http://www.wikidata.org/entity/Q147507,D031254
http://www.wikidata.org/entity/Q147295,D031824
